token,meat_count,no_meat_count
cibulkou,2,1
cibulkovy,3,1
cibulou,1,0
cibulov,1,0
cibulova,0,1
cibulovy,34,27
cibuly,1,0
cibut,3,4
cicer,8,19
cicerom,0,1
ciceroovy,0,1
cicerovo,1,0
cicerovy,14,47
cickno,1,0
ciernohoriet,2,0
ciernohorske,1,0
ciernohorsky,39,1
cierny,24,12
cifersky,1,0
ciganska,2,0
cigansky,52,0
cigaro,2,3
cikansky,1,0
cikos,3,2
cili,12,2
cina,1,0
cinat,6,0
cinska,1,0
cinsky,50,12
cinsy,1,0
cips,3,1
cir,2,7
cira,0,1
cirat,0,1
ciry,6,38
cisarsky,1,3
citron,29,9
citronovo,8,2
citronovy,28,6
citrusovy,9,0
cittadelles,2,0
cketovo,1,0
ckolada,0,1
clasico,1,0
classic,1,4
classica,1,0
classico,1,0
club,1,0
cmund,1,0
cocoa,0,3
coconut,0,1
coctailovy,1,0
cognt,1,0
coko,0,9
cokolada,1,48
cokoladou,0,1
cokoladovo,0,2
cokoladovy,2,18
cokopoleva,0,1
coleslav,2,0
coleslaw,16,0
colorfut,1,0
compot,0,1
comsommy,1,0
con,48,12
concasy,0,1
conchigli,1,0
consom,1,0
consomit,1,0
consommy,3,0
contadina,0,2
corba,2,0
cordon,51,0
corn,15,2
cornflak,1,0
cornflakes,6,0
cornflex,1,0
corns,1,0
cottaga,0,6
cottage,0,1
cottagechees,1,0
cotto,1,9
coulis,0,1
country,2,0
cous,4,6
couscous,2,1
couvert,0,1
cranberriesit,0,1
cranberry,0,1
crat,2,7
cream,6,12
crema,1,5
cresso,1,0
cret,1,0
croquettes,1,0
croutons,0,3
crud,1,0
cruda,1,0
crudo,11,0
crumba,0,1
crusit,1,1
csavargo,1,0
cuchany,1,0
cuco,0,1
cucoriedka,2,4
cucoriedkovou,0,1
cucoriedkovy,1,11
cucumbert,1,0
cuketa,66,52
cuketova,0,1
cuketovo,4,6
cuketovy,14,36
cukina,8,15
cukinovo,0,1
cukinovy,1,5
cukor,3,44
cukrov,0,1
cukrovy,1,4
culatello,2,1
cumin,1,2
cupcaka,0,1
curd,0,4
curry,12,5
cus,0,1
cusky,1,0
cutlet,5,0
cutlets,0,1
cvapcici,1,0
cvikla,58,31
cviklou,0,2
cviklovo,3,4
cviklovy,27,28
cviknut,2,0
d,5,8
dakovat,0,1
dallo,1,0
dalmatinsky,1,0
dalmatsky,1,0
dang,1,0
daniel,3,1
daniela,0,1
